norad,R2_sma,R2_sma_diff,R2_moyen,n_sauts,saut_median_bruit,amplitude_bruit,R2_manoeuvre,n_evalues
45199,0.9994201672646827,0.7145782643098837,0.8569992157872832,0,,,,
51057,0.9995039626523705,0.7143187753455372,0.8569113689989538,1,1024.2414259821112,1024.2414259821112,,
47557,0.9527376549186493,0.7608428386289349,0.856790246773792,1,993.49515038481,993.49515038481,,
7063,0.9988090404215112,0.7134367059745723,0.8561228731980417,0,,,,
47876,0.9790108561069497,0.7322596125161238,0.8556352343115368,2,803.183029762517,1254.42095382108,,
67321,0.9983270655478669,0.7122882799202552,0.855307672734061,1,1210.3283331808236,1210.3283331808236,,
51030,0.9966295225179234,0.7132854337749863,0.8549574781464548,2,1239.5474020778388,2157.5093712475923,,
46677,0.9980815267433084,0.7096342561962182,0.8538578914697633,0,,,,
46534,0.9474232963721592,0.7598039205130331,0.8536136084425962,1,1523.7326833364884,1523.7326833364884,,
63876,0.9613060546149315,0.7457455565091534,0.8535258055620425,5,2192.5177428366305,2568.057121401791,-28.90976333618164,4.0
52874,0.9083013756142719,0.7985359578175627,0.8534186667159174,1,1052.6927654391402,1052.6927654391402,,
34465,0.9980413748446841,0.7078273499535174,0.8529343623991008,3,388.66933315506486,930.283098196598,0.5693179965019226,3.0
47148,0.9176141413385516,0.7877469251571482,0.8526805332478499,1,1935.673522489019,1935.673522489019,,
30423,0.9991042506915512,0.7050937207798676,0.8520989857357094,2,492.16463420646,514.7488474898299,,
67711,0.9961550406346682,0.7076217825809072,0.8518884116077877,3,505.5267857253826,1194.4521590723773,-0.30149924755096436,3.0
45541,0.932880158292585,0.7694541570155875,0.8511671576540862,3,585.8487296902533,1624.878235207003,-1.1397794485092163,3.0
14631,0.9991998132167524,0.7018262121345885,0.8505130126756705,1,598.4642199679452,598.4642199679452,,
40360,0.9996056484108968,0.7011995082613209,0.8504025783361089,2,1134.1353663097827,2087.337866559869,,
37941,0.9973823945772781,0.7029780972020516,0.8501802458896648,2,1230.907203863679,2266.847087130811,,
54465,0.9994573750108002,0.7006023148911753,0.8500298449509878,1,1058.931147180603,1058.931147180603,,
50156,0.9133977033316579,0.7864802177259852,0.8499389605288216,1,2017.9750341700453,2017.9750341700453,,
46793,0.9778998859883468,0.7196507648484379,0.8487753254183923,1,1242.3209852960183,1242.3209852960183,,
58337,0.9991522507308799,0.697140663535839,0.8481464571333595,3,318.58377069926206,1167.8822178380262,0.868624210357666,3.0
67582,0.9934297462485434,0.7024419852868626,0.847935865767703,2,1369.4630527766758,1542.707120815941,,
48914,0.9993044452721557,0.6964239172589766,0.8478641812655661,2,722.6647581896035,1245.8339173133559,,
48675,0.8907189367293452,0.804244437044178,0.8474816868867616,1,2041.4847975992989,2041.4847975992989,,
48911,0.9984002002601161,0.6954204928474379,0.8469103465537771,1,1464.3288793881509,1464.3288793881509,,
67667,0.9976363290501588,0.6957821158785961,0.8467092224643774,2,1126.8831223626921,1321.462511143641,,
58825,0.9990128471131208,0.6921729185423278,0.8455928828277243,4,241.6215380948271,3546.4747828221693,-0.20510950684547424,4.0
64935,0.922849878096295,0.7673856524955759,0.8451177652959354,3,4349.6467424586135,4363.268270009772,0.32498013973236084,3.0
47600,0.9365922586342171,0.7514903430339479,0.8440413008340826,2,795.2570772229087,1289.943699821195,,
56205,0.9984778528070917,0.6876204191246911,0.8430491359658914,3,397.38948586986237,1363.7487585814135,0.3141232430934906,3.0
54399,0.9983750537038443,0.6877017279080357,0.84303839080594,1,733.0964840127588,733.0964840127588,,
22435,0.9977304830426218,0.687740752949777,0.8427356179961993,1,979.977047903137,979.977047903137,,
51006,0.9947271370776282,0.6887905889364395,0.8417588630070338,1,1777.9703214561525,1777.9703214561525,,
37853,0.9989159028292616,0.6841463699153407,0.8415311363723011,1,762.2209028034335,762.2209028034335,,
67211,0.9936354179244327,0.6883664812928274,0.84100094960863,3,2442.565600978849,3080.6821136870053,0.331253319978714,3.0
46547,0.9981502659958712,0.6808990776216808,0.839524671808776,0,,,,
47438,0.9990271642271098,0.6794335778895515,0.8392303710583306,1,388.07054197542254,388.07054197542254,,
64705,0.9480302893868281,0.7302164608034403,0.8391233750951341,2,3866.218769992099,5221.085375643065,,
56199,0.999448926925565,0.6787342479218305,0.8390915874236977,2,645.9506541736368,991.9027925814012,,
46770,0.9787734884995605,0.6991486116926734,0.8389610500961169,2,931.7302223484277,1604.7731633721278,,
13000,0.9935727468035197,0.6824288543437654,0.8380008005736426,0,,,,
24873,0.9990014807631703,0.6767123351644976,0.8378569079638339,1,1329.6821336114108,1329.6821336114108,,
66852,0.9948196985371693,0.6808918055167987,0.837855752026984,2,1288.49112259153,1345.2222059968058,,
